iter	MultiClass
0	1.049089153
1	1.010980983
2	0.9789853011
3	0.9540218495
4	0.932900919
5	0.9144500495
6	0.897425665
7	0.8821977586
8	0.8700125459
9	0.8585090512
10	0.848395553
11	0.836544572
12	0.8253033819
13	0.8154600526
14	0.8066217262
15	0.7990350508
16	0.7902840097
17	0.7817009219
18	0.7759050527
19	0.7697770279
20	0.765402326
21	0.7600665203
22	0.75361104
23	0.7475732071
24	0.7426603106
25	0.738668289
26	0.7338218538
27	0.7303477578
28	0.7268030856
29	0.7218243472
30	0.7180269571
31	0.71520492
32	0.7128527763
33	0.7080553413
34	0.7042065769
35	0.7023490729
36	0.6998818116
37	0.6972967108
38	0.6940969237
39	0.6908628774
40	0.6885412007
41	0.6869124282
42	0.6842301536
43	0.6830962071
44	0.6793523928
45	0.6777799541
46	0.6756798522
47	0.6745229317
48	0.6731683243
49	0.6712673598
50	0.6698367765
51	0.6663026883
52	0.6626197361
53	0.661020218
54	0.6597161849
55	0.6575382587
56	0.656288894
57	0.6548413029
58	0.6538342048
59	0.6506921518
60	0.6496886114
61	0.6480983336
62	0.6459701069
63	0.6438800351
64	0.6426105067
65	0.6414010098
66	0.6393376176
67	0.6373334034
68	0.6352683919
69	0.6344120719
70	0.6330146899
71	0.6323344236
72	0.630974565
73	0.6302277649
74	0.6281086996
75	0.6253120899
76	0.6243052057
77	0.6231002148
78	0.6219046695
79	0.6204071322
80	0.6197268204
81	0.6191229558
82	0.6182897667
83	0.6158517526
84	0.6146790005
85	0.6131164699
86	0.6124060353
87	0.6102354663
88	0.6086706281
89	0.608060493
90	0.6071086632
91	0.6053750881
92	0.6047466764
93	0.6039644867
94	0.6035450551
95	0.6027304398
96	0.602023806
97	0.6009552934
98	0.6004233762
99	0.5998406481
100	0.597569876
101	0.5972421625
102	0.596655795
103	0.5962441928
104	0.595563589
105	0.5942387017
106	0.5934051918
107	0.5929669668
108	0.5923980208
109	0.5913376953
110	0.5898560348
111	0.5893046447
112	0.5884571254
113	0.587889532
114	0.5875243636
115	0.5871653285
116	0.5866725525
117	0.5853909855
118	0.5847391053
119	0.5841341741
120	0.5834651448
121	0.5829814113
122	0.5816480766
123	0.5809629744
124	0.5794730464
125	0.5777608497
126	0.5770399446
127	0.5766117073
128	0.5760439665
129	0.5750568693
130	0.5745406259
131	0.5738755873
132	0.5734425209
133	0.5720258944
134	0.5707263345
135	0.5705057481
136	0.56994315
137	0.5694063442
138	0.569053039
139	0.5683872357
140	0.5672062324
141	0.566835444
142	0.5661272447
143	0.5653502843
144	0.5647470247
145	0.5644891599
146	0.5640419733
147	0.563745944
148	0.5632836406
149	0.5628092024
150	0.5623519557
151	0.5619848115
152	0.561184842
153	0.5599931624
154	0.5594888216
155	0.5590075228
156	0.5586819163
157	0.5578225016
158	0.5574831671
159	0.5569131098
160	0.5562449172
161	0.555999098
162	0.5556154999
163	0.555139833
164	0.5548785486
165	0.5540000473
166	0.5536225873
167	0.5531869286
168	0.5525132384
169	0.5517500303
170	0.5514537674
171	0.5510279846
172	0.5507182124
173	0.5495953965
174	0.5493292767
175	0.5489810038
176	0.5485569759
177	0.5480234555
178	0.5476681638
179	0.5471379367
180	0.5467902854
181	0.5461585481
182	0.545684792
183	0.5454221964
184	0.5449379117
185	0.5438396722
186	0.5436791371
187	0.5432893558
188	0.5425421205
189	0.5420730948
190	0.5418463418
191	0.5412697216
192	0.5406515187
193	0.5403104873
194	0.5401316641
195	0.5397369201
196	0.5394624319
197	0.538979535
198	0.5387867133
199	0.5384869717
200	0.5379431905
201	0.5377178283
202	0.5375052854
203	0.536941897
204	0.5366797137
205	0.5359597458
206	0.5355966424
207	0.5353379101
208	0.5350714661
209	0.5347441373
210	0.5345736031
211	0.534338254
212	0.5340284518
213	0.5337450039
214	0.5334871503
215	0.533205477
216	0.5330294005
217	0.5322548099
218	0.5319378566
219	0.5316956939
220	0.5314007958
221	0.5312074579
222	0.5308967583
223	0.530234364
224	0.529812918
225	0.5294551233
226	0.5293005896
227	0.528897746
228	0.5284997136
229	0.5282149334
230	0.5279308998
231	0.527316022
232	0.5270572891
233	0.5268760157
234	0.5265244664
235	0.5261394242
236	0.5259273774
237	0.5256063276
238	0.5254024308
239	0.5251859994
240	0.5248284271
241	0.5247049945
242	0.5242197726
243	0.523892267
244	0.5235843693
245	0.5234656715
246	0.523299965
247	0.5230319007
248	0.5228134235
249	0.5226074253
250	0.5223218397
251	0.522146167
252	0.521989732
253	0.5217183956
254	0.5213629682
255	0.5208856257
256	0.5206010927
257	0.5203984598
258	0.5202327725
259	0.5200553137
260	0.519894202
261	0.5195505772
262	0.5191068282
263	0.5189431674
264	0.5188018832
265	0.5186027486
266	0.51846413
267	0.5181962638
268	0.5179811003
269	0.5178039424
270	0.5176355524
271	0.5171961985
272	0.5169615973
273	0.5167755307
274	0.5163693221
275	0.516205254
276	0.5160616367
277	0.5158340373
278	0.5156233059
279	0.515465452
280	0.5151814432
281	0.514988308
282	0.5146264472
283	0.5144675117
284	0.5143143975
285	0.5141687267
286	0.5137264741
287	0.5135454503
288	0.5133546283
289	0.5131653801
290	0.5129923395
291	0.5128833081
292	0.5126485838
293	0.5124244666
294	0.5121573798
295	0.5119831219
296	0.5117154894
297	0.5115697976
298	0.5114490052
299	0.5113048028
300	0.5111877622
301	0.5110618494
302	0.5108204806
303	0.5106251173
304	0.5105302096
305	0.5104163074
306	0.5102459373
307	0.5100503895
308	0.5099006403
309	0.5097033039
310	0.5095836883
311	0.5093143894
312	0.5091005438
313	0.508980072
314	0.5087379307
315	0.5086475022
316	0.5084299282
317	0.5081506221
318	0.5079685758
319	0.5077363291
320	0.5075025043
321	0.5073509123
322	0.5072018002
323	0.5070346675
324	0.5069108257
325	0.5067357617
326	0.506598697
327	0.506350288
328	0.5061314526
329	0.5059835681
330	0.5058392273
331	0.5057608484
332	0.5055046747
333	0.5053819594
334	0.5052362434
335	0.5050098044
336	0.5047936098
337	0.5044025108
338	0.5042457661
339	0.5040384454
340	0.5038332483
341	0.5036636942
342	0.5035805984
343	0.5034853405
344	0.5033276709
345	0.5031836616
346	0.5031024523
347	0.5030033261
348	0.5028800901
349	0.5027642197
350	0.5026785971
351	0.5025638772
352	0.5023820314
353	0.5021901479
354	0.5020489531
355	0.5018836981
356	0.5017359625
357	0.5015934449
358	0.5014118502
359	0.5013228117
360	0.5012119868
361	0.5011137587
362	0.5009168757
363	0.5008129186
364	0.5006226195
365	0.5003798467
366	0.5002420006
367	0.4999038629
368	0.4997111348
369	0.4995723475
370	0.4993828401
371	0.499292301
372	0.4990793424
373	0.49894136
374	0.4988290449
375	0.4986914524
376	0.4985908608
377	0.498309045
378	0.4981586324
379	0.4980123506
380	0.4978701519
381	0.4977486388
382	0.4976110894
383	0.4974978411
384	0.497342295
385	0.4972681841
386	0.4970996318
387	0.49696229
388	0.4967898791
389	0.4965976293
390	0.4964956626
391	0.4962975367
392	0.496205812
393	0.4960264989
394	0.4957840987
395	0.4956591105
396	0.4954820808
397	0.4953684605
398	0.4952314096
399	0.495055406
400	0.4949157109
401	0.4946667833
402	0.4945194219
403	0.494412581
404	0.4943301648
405	0.4942407664
406	0.4941066683
407	0.4940700723
408	0.4939462009
409	0.4938058705
410	0.4935717078
411	0.4935052293
412	0.4933980527
413	0.4933046249
414	0.4932462424
415	0.4931630568
416	0.4930650838
417	0.4929881871
418	0.4928439885
419	0.4926379695
420	0.4925692873
421	0.492481194
422	0.4923349599
423	0.4922389802
424	0.4921088966
425	0.4919952937
426	0.4917286735
427	0.491502877
428	0.4914170203
429	0.4913423396
430	0.4912362972
431	0.4911756588
432	0.4911261567
433	0.4910197002
434	0.4908982502
435	0.4907896127
436	0.4906129273
437	0.4905002223
438	0.4904489498
439	0.4901499582
440	0.4900602391
441	0.4899849002
442	0.4899334315
443	0.489786394
444	0.489680588
445	0.4894379748
446	0.489349983
447	0.4891793819
448	0.4890605168
449	0.4889797257
450	0.4887846076
451	0.4887222424
452	0.4885619022
453	0.4883702228
454	0.488131807
455	0.4880167321
456	0.4878479326
457	0.4876743191
458	0.487605899
459	0.4874917308
460	0.4874070504
461	0.4873432741
462	0.4872417508
463	0.4871331045
464	0.4869952471
465	0.4868521445
466	0.4867170886
467	0.4866370585
468	0.4864880882
469	0.4864326207
470	0.4863188293
471	0.4862776407
472	0.4861369741
473	0.4860459754
474	0.4859273348
475	0.4858784268
476	0.4857681516
477	0.4856862236
478	0.4855358934
479	0.4854084378
480	0.4851694173
481	0.4851140845
482	0.4850663556
483	0.4849386482
484	0.4848307539
485	0.4846467267
486	0.4845734598
487	0.4843584861
488	0.4842622194
489	0.4842054779
490	0.4840873421
491	0.4839570082
492	0.4838224539
493	0.4836722162
494	0.4835963444
495	0.4835331197
496	0.4835003758
497	0.4834380108
498	0.483356594
499	0.4832610957
500	0.4831397657
501	0.4830624736
502	0.4829646645
503	0.4828492164
504	0.4827624481
505	0.4826796501
506	0.4826152284
507	0.4825338969
508	0.4824677532
509	0.4823974629
510	0.4822680375
511	0.4821160638
512	0.4820900835
513	0.4820036736
514	0.4819172902
515	0.4817645053
516	0.4816498021
517	0.481539896
518	0.481386378
519	0.4812701313
520	0.4810698662
521	0.4809386065
522	0.4808265953
523	0.48075422
524	0.4806499852
525	0.4806134734
526	0.480478971
527	0.4803942862
528	0.4803539008
529	0.4801997281
530	0.4801452298
531	0.4800223656
532	0.4799754564
533	0.4798472985
534	0.4796654161
535	0.4795190858
536	0.4794051136
537	0.4793491664
538	0.479194185
539	0.4790914314
540	0.479006064
541	0.4789265153
542	0.478843522
543	0.4787678769
544	0.4786991604
545	0.4785928066
546	0.4784215273
547	0.4783626487
548	0.4781910257
549	0.4780753946
550	0.4779584797
551	0.4778689016
552	0.4777860042
553	0.4777325827
554	0.4776873059
555	0.477593068
556	0.4775302487
557	0.4774527373
558	0.4773135643
559	0.4772081158
560	0.4771408315
561	0.4771120579
562	0.4770214639
563	0.476959743
564	0.4768831321
565	0.4767776226
566	0.4767082078
567	0.4766653105
568	0.476604604
569	0.4764526445
570	0.4763110673
571	0.4762481547
572	0.4761034507
573	0.4759594842
574	0.4758988367
575	0.475801157
576	0.4756626385
577	0.475559957
578	0.4754883944
579	0.4753801083
580	0.4752857578
581	0.4751667385
582	0.4750923733
583	0.4750208348
584	0.4748133594
585	0.4747558869
586	0.4746866391
587	0.4745746242
588	0.4745184578
589	0.4744740797
590	0.4743807432
591	0.4743322875
592	0.4742793559
593	0.4741291901
594	0.4740553684
595	0.4739499389
596	0.4738533152
597	0.4737606152
598	0.4737174002
599	0.4736373464
600	0.4735495587
601	0.4734775997
602	0.4733905931
603	0.4733280581
604	0.4732622634
605	0.4731741949
606	0.4730301355
607	0.4729656819
608	0.4728874692
609	0.4727646862
610	0.4726980229
611	0.4726532007
612	0.4725744095
613	0.4724692713
614	0.4724245979
615	0.4723566758
616	0.4722076997
617	0.472161135
618	0.4721187727
619	0.4719914247
620	0.4718544667
621	0.4717839487
622	0.4716858831
623	0.4716069273
624	0.4715638935
625	0.4714306429
626	0.4713981407
627	0.4713025231
628	0.4712149672
629	0.4711092514
630	0.4710337464
631	0.4709734036
632	0.4709128502
633	0.4708373696
634	0.4707273219
635	0.4706186354
636	0.4705517745
637	0.4704757429
638	0.470384122
639	0.4703374749
640	0.4702864753
641	0.4702081909
642	0.4701266844
643	0.4700537911
644	0.4699713193
645	0.4699078752
646	0.4698501469
647	0.4697508373
648	0.4696720089
649	0.4695604045
650	0.4694837311
651	0.4694093697
652	0.4693519662
653	0.4692878955
654	0.4692264705
655	0.469111958
656	0.4690720447
657	0.4689735064
658	0.468929399
659	0.468816829
660	0.4687612807
661	0.4686634467
662	0.4685897127
663	0.4685474546
664	0.4684824275
665	0.4684089847
666	0.4683095187
667	0.4682714594
668	0.4681298632
669	0.468002986
670	0.4679050439
671	0.4678027876
672	0.4677653226
673	0.4677251162
674	0.4676585473
675	0.4675829914
676	0.4675286759
677	0.4674494219
678	0.4673324572
679	0.467271168
680	0.4672133542
681	0.4671484454
682	0.4670076612
683	0.4669306899
684	0.4668930887
685	0.4668499291
686	0.4667976083
687	0.4667146963
688	0.4666657094
689	0.466580173
690	0.4665384653
691	0.466506524
692	0.4663929402
693	0.4663022004
694	0.4662412093
695	0.4661543605
696	0.4660785636
697	0.4659884991
698	0.4658626065
699	0.4657778164
700	0.4657036313
701	0.4656687815
702	0.4656117306
703	0.4655460779
704	0.4654738252
705	0.4654059761
706	0.4653688125
707	0.4653037259
708	0.4652470683
709	0.4651860559
710	0.465078061
711	0.4650173909
712	0.464902881
713	0.4648473265
714	0.4647676828
715	0.4646832849
716	0.4646342694
717	0.4645103402
718	0.4644682917
719	0.4644071636
720	0.4643111902
721	0.4642749103
722	0.4641853797
723	0.4641346634
724	0.4640768495
725	0.4640590638
726	0.4640098998
727	0.4639628443
728	0.4638971267
729	0.4638667404
730	0.4637874571
731	0.4637248569
732	0.4636900427
733	0.4636405011
734	0.4635956269
735	0.4635332309
736	0.4634771417
737	0.4633877085
738	0.4633519891
739	0.463300562
740	0.4632427879
741	0.4631748709
742	0.4631294519
743	0.4630796374
744	0.4630291128
745	0.4629674322
746	0.4628798393
747	0.4628304682
748	0.4627369026
749	0.4626155657
750	0.4625332687
751	0.4624242339
752	0.4623345964
753	0.4622740371
754	0.462219055
755	0.4621713697
756	0.4620972991
757	0.4620456551
758	0.4619551271
759	0.461930518
760	0.461879021
761	0.4617846041
762	0.461611547
763	0.4615284349
764	0.4614505686
765	0.4613928175
766	0.4612871244
767	0.4611622087
768	0.4610880068
769	0.4610364607
770	0.4609356304
771	0.4608778922
772	0.4608292261
773	0.4607956921
774	0.4607135473
775	0.460661556
776	0.460550832
777	0.4604853306
778	0.4603861297
779	0.4603618476
780	0.4602972403
781	0.4602435396
782	0.4601217164
783	0.460010443
784	0.4599785968
785	0.459897117
786	0.4598446393
787	0.4597628322
788	0.4597043719
789	0.4596376501
790	0.4595074314
791	0.4594526151
792	0.4593595493
793	0.4592931768
794	0.4592490827
795	0.4592018782
796	0.4591420467
797	0.4590308417
798	0.4589570962
799	0.4589168893
800	0.4588690477
801	0.4587703449
802	0.4587220282
803	0.4586913111
804	0.4586260811
805	0.458561593
806	0.4585197867
807	0.4584852387
808	0.4584284321
809	0.4584000364
810	0.4583642271
811	0.4582904213
812	0.458272086
813	0.4582038703
814	0.4581840335
815	0.458095659
816	0.458068885
817	0.4580248564
818	0.4579169404
819	0.4578174033
820	0.4577809124
821	0.4577253372
822	0.457667418
823	0.4575712121
824	0.4574901097
825	0.4574018201
826	0.4573334963
827	0.4572297093
828	0.457178861
829	0.4570986452
830	0.456990298
831	0.4569452491
832	0.4568659962
833	0.4568305518
834	0.4567740314
835	0.4566965812
836	0.4566429196
837	0.4566078832
838	0.4565306086
839	0.4564880164
840	0.4564240419
841	0.4563927885
842	0.4563372728
843	0.4563159876
844	0.4561785017
845	0.4561307778
846	0.4560648799
847	0.4560185527
848	0.4559368487
849	0.4558603119
850	0.4558225053
851	0.4557416542
852	0.4556794523
853	0.4556006727
854	0.455533047
855	0.4554467623
856	0.4554150222
857	0.4553606412
858	0.4552788929
859	0.4551757876
860	0.4551479536
861	0.4550398066
862	0.4550186739
863	0.4549220968
864	0.4548588391
865	0.4547741189
866	0.4547230834
867	0.4546599636
868	0.4546055303
869	0.4545472549
870	0.4544860313
871	0.454414416
872	0.4543542788
873	0.454329555
874	0.4542895418
875	0.4542309904
876	0.4541831354
877	0.4541297059
878	0.4540815419
879	0.453987786
880	0.4539179975
881	0.4538441684
882	0.4537784352
883	0.4537386144
884	0.4536980995
885	0.4536273722
886	0.4535837905
887	0.4535430177
888	0.4534816343
889	0.453434944
890	0.4533704175
891	0.4533304938
892	0.4532842642
893	0.4532104039
894	0.4531522899
895	0.4531105827
896	0.4530568126
897	0.4529975952
898	0.4529436283
899	0.4529008004
900	0.4528185851
901	0.4527773188
902	0.4527356166
903	0.4526768678
904	0.4526306406
905	0.4526117991
906	0.4525406195
907	0.4524919933
908	0.4524341704
909	0.4523380678
910	0.4523042197
911	0.4522155423
912	0.4521763787
913	0.452094376
914	0.45205699
915	0.4519998059
916	0.4519617498
917	0.4519134126
918	0.4518907107
919	0.45184526
920	0.451778952
921	0.451700934
922	0.4515916398
923	0.4515474346
924	0.4514987316
925	0.4514432696
926	0.4513999718
927	0.4513783713
928	0.4513578641
929	0.4513314658
930	0.4512983196
931	0.4512558627
932	0.4512200412
933	0.4511827745
934	0.4511246098
935	0.4510239957
936	0.4509748482
937	0.4509069217
938	0.4508219403
939	0.4507782193
940	0.450745147
941	0.4506964016
942	0.4506584888
943	0.4506075046
944	0.4505403575
945	0.45047829
946	0.4503928468
947	0.4503545706
948	0.4503200118
949	0.4502356832
950	0.4502074895
951	0.4501404553
952	0.4501144234
953	0.4500748805
954	0.4500527858
955	0.4499984483
956	0.4499466915
957	0.4499012519
958	0.4498110972
959	0.4497689925
960	0.4497502714
961	0.4496676672
962	0.4495353004
963	0.4494647042
964	0.4494410302
965	0.4494108581
966	0.4493818473
967	0.4493372944
968	0.4492970273
969	0.44924874
970	0.4492162272
971	0.449147463
972	0.4490880706
973	0.4490498322
974	0.4489787941
975	0.4489119569
976	0.4488412793
977	0.4487913708
978	0.4487298276
979	0.4486839794
980	0.4486228068
981	0.4485817837
982	0.4484882516
983	0.4484385205
984	0.448376851
985	0.4483337184
986	0.4482914744
987	0.4482711668
988	0.4481699383
989	0.4481207801
990	0.4480821931
991	0.4480513513
992	0.4480149094
993	0.4479608384
994	0.4478701258
995	0.447836016
996	0.4477938671
997	0.4477436724
998	0.4477124477
999	0.4476873897
